Packet,1_2_Id,2_0_1_7_Id,Status
ChangeCVarPacket,,0x04e,NEW_IN_2_0
CSAcceptCheatQuestContextPacket,0xfff,0xfff,SAME
CSActiveWeaponChangedPacket,0x08c,0x0a2,RENUMBERED
CSAddBlockedUserPacket,0x107,0x0f0,RENUMBERED
CSAddFriendPacket,0x104,0x0f5,RENUMBERED
CSAesXorKey_05_Packet,,0x0de,NEW_IN_2_0
CSAesXorKeyPacket,,0x0de,NEW_IN_2_0
CSAllowHousingRecoverPacket,0x05d,0x04f,RENUMBERED
CSApplyToInstantGamePacket,0x0e1,0x0ab,RENUMBERED
CSAskRiskyTeamActionPacket,0x088,0x0fa,RENUMBERED
CSAuctionBidPacket,,0x02c,NEW_IN_2_0
CSAuctionLowestPricePacket,0x0bc,0x163,RENUMBERED
CSAuctionMyBidListPacket,0x0bb,0x0d5,RENUMBERED
CSAuctionPostPacket,0x0b7,0x129,RENUMBERED
CSAuctionSearchPacket,0x0b8,0x065,RENUMBERED
CSBeautyshopDataPacket,0x12d,0x00a,RENUMBERED
CSBidAuctionPacket,0x0b9,0xfff,RENUMBERED
CSBindSlavePacket,0x031,0x048,RENUMBERED
CSBoardingTransferPacket,0x067,0x15a,RENUMBERED
CSBroadcastOpenEquipInfoPacket,,0x07c,NEW_IN_2_0
CSBroadcastVisualOptionPacket,0x119,0x016,RENUMBERED
CSBuyCoinItemPacket,0x0af,0x0fd,RENUMBERED
CSBuyHousePacket,0x060,0x15e,RENUMBERED
CSBuyItemsPacket,0x0ae,0x01b,RENUMBERED
CSBuyPriestBuffPacket,0x0b2,0x128,RENUMBERED
CSBuySpecialtyItemPacket,0xfff,0xfff,SAME
CSCancelAuctionPacket,0x0ba,0x0b9,RENUMBERED
CSCancelCharacterDeletePacket,0x027,0x0df,RENUMBERED
CSCancelInstantGamePacket,0x0e2,0x0f1,RENUMBERED
CSCancelLeaveWorldPacket,0x002,0x045,RENUMBERED
CSCancelTradePacket,0x0ef,0x081,RENUMBERED
CSCancelTrialPacket,0x074,0x083,RENUMBERED
CSCannotStartTradePacket,0x0ee,0x08c,RENUMBERED
CSCanStartTradePacket,0x0ed,0x141,RENUMBERED
CSChallengeDuelPacket,0x050,0xfff,RENUMBERED
CSChangeAppellationPacket,0x0f9,0x057,RENUMBERED
CSChangeAutoUseAAPointPacket,,0x113,NEW_IN_2_0
CSChangeDoodadDataPacket,0x0eb,0x068,RENUMBERED
CSChangeDoodadPhasePacket,0x0e9,0x0c4,RENUMBERED
CSChangeExpeditionMemberRolePacket,0x007,0x108,RENUMBERED
CSChangeExpeditionOwnerPacket,0x008,0x0bd,RENUMBERED
CSChangeExpeditionRolePolicyPacket,0x006,0x079,RENUMBERED
CSChangeExpeditionSponsorPacket,0xfff,0xfff,SAME
CSChangeHouseNamePacket,0x059,0x09e,RENUMBERED
CSChangeHousePayPacket,0xfff,0xfff,SAME
CSChangeHousePermissionPacket,0x05a,0x0ea,RENUMBERED
CSChangeItemLookPacket,0xfff,0x16f,RENUMBERED
