Packet,1_2_Id,2_0_1_7_Id,Status
CDominionStartUnkPacket,0x24,,REMOVED_IN_2_0
CSQuestAcceptConditionalPacket,0x14a,,REMOVED_IN_2_0
SCAbilityExpChangedPacket,0xff,0x07e,RENUMBERED
SCAbilitySwappedPacket,0x109,0x0fb,RENUMBERED
SCAboxTeleportPacket,0x1a2,0x226,RENUMBERED
SCAccountAttendancePacket,,0x22e,NEW_IN_2_0
SCAccountAttributeConfigPacket,0x215,0x0a2,RENUMBERED
SCAccountAttributeKind_1_Packet,,0x0b4,NEW_IN_2_0
SCAccountAttributeKind_2_Packet,,0x028,NEW_IN_2_0
SCAccountAttributeKindPacket,,0x195,NEW_IN_2_0
SCAccountInfoPacket,0x1c2,0x0e4,RENUMBERED
SCAccountWarnedPacket,0x1a1,0x145,RENUMBERED
SCAchievementChangedPacket,0x1fd,,REMOVED_IN_2_0
SCAchievementCompletedPacket,0x1fe,,REMOVED_IN_2_0
SCAchievementItemSentPacket,0x200,,REMOVED_IN_2_0
SCAchievementResetedPacket,0x1ff,,REMOVED_IN_2_0
SCAchievementsPacket,0x1fc,,REMOVED_IN_2_0
SCActabilityPacket,0x136,0x062,RENUMBERED
SCActionSlotsPacket,0x12d,0x242,RENUMBERED
SCActiveWeaponChangedPacket,0x6f,0x154,RENUMBERED
SCAddActionPointPacket,0x47,0x218,RENUMBERED
SCAddBlockedUserPacket,0x55,0x16b,RENUMBERED
SCAddFriendPacket,0x50,0x121,RENUMBERED
SCAggroTargetChanged,0x1bd,,REMOVED_IN_2_0
SCAggroTargetChangedPacket,,0x071,NEW_IN_2_0
SCAiAggroPacket,0x1c4,0x25d,RENUMBERED
SCAiDebugPacket,0x1c3,0x029,RENUMBERED
SCAppellationChangedPacket,0x1a6,0x0f6,RENUMBERED
SCAppellationGainedPacket,0x1a5,0x27c,RENUMBERED
SCAppellationsPacket,0x1a4,0x043,RENUMBERED
SCAppliedToInstantGamePacket,0x18b,0x1a5,RENUMBERED
SCAreaChatBubblePacket,0x153,0x0a5,RENUMBERED
SCAreaTeamMessagePacket,0x155,0x0a6,RENUMBERED
SCAskImprisonOrTrialPacket,0x171,0x083,RENUMBERED
SCAskToJoinTeamAreaPacket,0xd5,0x0b1,RENUMBERED
SCAskToJoinTeamPacket,0xd4,0x16f,RENUMBERED
SCAttachmentTakenPacket,0x11d,0x1f9,RENUMBERED
SCAuctionBidPacket,0x131,0x1ec,RENUMBERED
SCAuctionCanceledPacket,0x132,0x27d,RENUMBERED
SCAuctionLowestPricePacket,0x130,0x174,RENUMBERED
SCAuctionMessagePacket,0x133,0x02a,RENUMBERED
SCAuctionPostedPacket,0x12e,0x018,RENUMBERED
SCAuctionSearchedPacket,0x12f,0x200,RENUMBERED
SCBlinkUnitPacket,0x73,0x1b6,RENUMBERED
SCBlockedUsersPacket,0x54,0x00c,RENUMBERED
SCBmPointPacket,0x46,0x0f9,RENUMBERED
SCBombUpdatedPacket,0xaa,0x29d,RENUMBERED
SCBondDoodadPacket,0x139,0x04b,RENUMBERED
SCBotSuspectArrestedPacket,0x185,0x156,RENUMBERED
SCBotSuspectReportedPacket,0x184,0x092,RENUMBERED
SCBountyListPacket,0x1d9,0x034,RENUMBERED
SCBountyPaidPacket,0x1dc,0x250,RENUMBERED
SCBuffCreatedPacket,0xb6,0x1ea,RENUMBERED
SCBuffLearnedPacket,0x107,0x09a,RENUMBERED
SCBuffRemovedPacket,0xb7,0x125,RENUMBERED
SCBuffUpdatedPacket,0xb9,0x120,RENUMBERED
SCCancelCharacterDeleteResponsePacket,0x3c,0x112,RENUMBERED
SCCancelInstantGamePacket,0x18c,0x118,RENUMBERED
SCCannotStartTradePacket,0x15f,0x1a2,RENUMBERED
SCCanStartTradePacket,0x15e,0x13b,RENUMBERED
SCCastingDelayedPacket,0xa6,0x0df,RENUMBERED
SCCastingStoppedPacket,0xa5,0x0eb,RENUMBERED
SCChangeJuryOKCountPacket,0x179,0x13f,RENUMBERED
SCChangeJuryVerdictCountPacket,0x17a,0x09c,RENUMBERED
SCChangeTrialStatePacket,0x178,0x0b3,RENUMBERED
SCCharacterAddStatPacket,,0x041,NEW_IN_2_0
SCCharacterBoundPacket,0x49,,REMOVED_IN_2_0
SCCharacterBounPacket,,0x070,NEW_IN_2_0
SCCharacterCreationFailedPacket,0x3d,0x030,RENUMBERED
SCCharacterDeletedPacket,0x3b,0x243,RENUMBERED
SCCharacterGamePointsPacket,0x188,0x26f,RENUMBERED
SCCharacterGenderAndModelModifiedPacket,0x1f3,0x16c,RENUMBERED
SCCharacterInvenContentsPacket,0x4c,0x245,RENUMBERED
SCCharacterInvenInitPacket,0x4b,0x0ba,RENUMBERED
SCCharacterLaborPowerChangedPacket,0x45,0x209,RENUMBERED
SCCharacterListPacket,0x3e,0x222,RENUMBERED
SCCharacterPortalsPacket,0x5b,0x06d,RENUMBERED
SCCharacterRenamedPacket,0x5a,0x07f,RENUMBERED
SCCharacterResurrectedPacket,0x42,0x057,RENUMBERED
SCCharacterReturnDistrictsPacket,0x5c,0x27a,RENUMBERED
SCCharacterStatePacket,0x40,0x060,RENUMBERED
SCCharBriefPacket,0x58,0x095,RENUMBERED
SCCharDetailPacket,0x53,0x046,RENUMBERED
SCChargeMoneyPaidPacket,0x11e,0x0fa,RENUMBERED
SCChatBubblePacket,0x154,0x1f1,RENUMBERED
SCChatFailedPacket,0xd1,0x15c,RENUMBERED
SCChatLocalizedMessagePacket,0xd2,0x11b,RENUMBERED
SCChatMessagePacket,0xce,0x1ac,RENUMBERED
SCChatSpamConfigPacket,,0x1aa,NEW_IN_2_0
SCChatSpamDelayPacket,0xd3,,REMOVED_IN_2_0
SCCheckRaceCongestionResponsePacket,,0x18c,NEW_IN_2_0
SCCofferContentsUpdatePacket,0x96,,REMOVED_IN_2_0
SCCofferContentsUpdatPacket,,0x21d,NEW_IN_2_0
SCCombatClearedPacket,0x86,0x0fd,RENUMBERED
SCCombatEngagedPacket,0x85,0x18a,RENUMBERED
SCCombatFirstHitPacket,0x89,0x00d,RENUMBERED
SCCombatTextPacket,0xab,0x278,RENUMBERED
SCCompletedQuestsPacket,0xf3,0x15e,RENUMBERED
SCConflictZoneHonorPointSumPacket,0xef,0x124,RENUMBERED
SCConflictZoneStatePacket,0xee,0x13c,RENUMBERED
SCConstructHouseTaxPacket,0xc5,0x25b,RENUMBERED
SCCooldownsPacket,0x4a,0x12a,RENUMBERED
SCCountUnreadMailPacket,0x116,0x266,RENUMBERED
SCCraftFailedPacket,0x1bf,0x061,RENUMBERED
SCCraftItemUnlockPacket,0xf5,0x270,RENUMBERED
SCCreateCharacterResponsePacket,0x38,0x146,RENUMBERED
SCCrimeChangedPacket,0x16f,0x081,RENUMBERED
SCCrimeDataPacket,0x176,0x001,RENUMBERED
SCCrimeRecordsPacket,0x177,0x0a1,RENUMBERED
SCCriminalArrestedPacket,0x170,0x129,RENUMBERED
SCCSQuestAcceptConditionalPacket,,0x1d3,NEW_IN_2_0
SCCvFCombatRelationshiPacket,,0x23c,NEW_IN_2_0
SCCvFCombatRelationshipPacket,0x87,0xfff,RENUMBERED
SCDelayedTaskOnInGameNotifyPacket,0x1a3,,REMOVED_IN_2_0
SCDeleteBlockedUserPacket,0x56,0x1c4,RENUMBERED
SCDeleteCharacterResponsePacket,0x39,0x230,RENUMBERED
SCDeleteFriendPacket,0x51,0x19b,RENUMBERED
SCDemoCharResetItemPacket,0x1b9,0x12f,RENUMBERED
SCDemoCharResetLocPacket,0x1ba,0x0d1,RENUMBERED
SCDemoResetActionSlotPacket,0x1bb,0x264,RENUMBERED
SCDetailedTimeOfDayPacket,0xf1,0x0f2,RENUMBERED
SCDiceValuePacket,0x134,0x196,RENUMBERED
SCDominionDataPacket,0x1d,0x08d,RENUMBERED
SCDominionDeletedPacket,0x1e,0xfff,RENUMBERED
SCDominionEndPacket,,0x29a,NEW_IN_2_0
SCDominionEndUnkPacket,0x25,,REMOVED_IN_2_0
SCDominionOwnerChangedPacket,0x1f,0x141,RENUMBERED
SCDominionStartPacket,,0x0ee,NEW_IN_2_0
SCDominionTaxBalancedPacket,0x23,0x231,RENUMBERED
SCDominionTaxRatePacket,0x20,0x238,RENUMBERED
SCDoodadChangedPacket,0x10e,0x05e,RENUMBERED
SCDoodadCompleteQuestPacket,0x14d,0x08e,RENUMBERED
SCDoodadCreatedPacket,0x10c,0x1c8,RENUMBERED
SCDoodadOriginatorPacket,0x114,0x074,RENUMBERED
SCDoodadPhaseChangedPacket,0x10f,0x016,RENUMBERED
SCDoodadPhaseMsgPacket,0x157,0x032,RENUMBERED
SCDoodadPuzzleScenePacket,0x110,0x17e,RENUMBERED
SCDoodadQuestAcceptPacket,0x111,0x131,RENUMBERED
SCDoodadRemovedPacket,0x10d,0x215,RENUMBERED
SCDoodadReqBattleFieldPacket,0x1be,0x291,RENUMBERED
SCDoodadsCreatedPacket,0x112,0x04c,RENUMBERED
SCDoodadSoundPacket,0x156,0x27b,RENUMBERED
SCDoodadsRemovedPacket,0x113,0x091,RENUMBERED
SCDoodadUccDataPacket,0x15a,,REMOVED_IN_2_0
SCDoodadUccPacket,,0x1ca,NEW_IN_2_0
SCDoodadUccStringPacket,0x158,0x1b2,RENUMBERED
SCDuelChallengedPacket,0x8b,0x0f5,RENUMBERED
SCDuelEndedPacket,0x8e,0x1e6,RENUMBERED
SCDuelStartCountdownPacket,0x8c,0x01a,RENUMBERED
SCDuelStartedPacket,0x8d,0x07c,RENUMBERED
SCDuelStatePacket,0x8f,0x0af,RENUMBERED
SCDumpCombatInfoPacket,0x1ad,0x069,RENUMBERED
SCDumpCombatStatPacket,0x8a,0x0ac,RENUMBERED
SCEditCharacterResponsePacket,0x3a,0x21f,RENUMBERED
SCEmblemDownloadedPacket,0x1a9,0x217,RENUMBERED
SCEmblemUploadedPacket,0x1a8,0x210,RENUMBERED
SCEmotionExpressedPacket,0x12b,0x286,RENUMBERED
SCEnvDamagePacket,0xb3,0x0ae,RENUMBERED
SCErrorMessagePacket,,0x165,NEW_IN_2_0
SCErrorMsgPacket,0x10a,0x24f,RENUMBERED
SCEscapeSlavePacket,0x67,0x107,RENUMBERED
SCExpChangedPacket,0xfe,0x009,RENUMBERED
SCExpeditionDismissedPacket,0x15,0x162,RENUMBERED
SCExpeditionInvitationPacket,0x1a,0x0dd,RENUMBERED
SCExpeditionMemberListPacket,0x16,0x063,RENUMBERED
SCExpeditionMemberStatusChangedPacket,0x17,0x005,RENUMBERED
SCExpeditionOwnerChangedPacket,0x0e,0x06a,RENUMBERED
SCExpeditionRoleChangedPacket,0x0d,0x139,RENUMBERED
SCExpeditionRolePolicyChangedPacket,0x0c,0x23e,RENUMBERED
SCExpeditionRolePolicyListPacket,0x0b,0x023,RENUMBERED
SCExpeditionShowRenameUIPacket,0x0f,0x0bd,RENUMBERED
SCExpeditionSponsorChangedPacket,0x14,0x232,RENUMBERED
SCExpertExpandedPacket,0x1c1,0x07b,RENUMBERED
SCExpertLimitModifiedPacket,0x1c0,0x1bc,RENUMBERED
SCFactionCreatedPacket,0x13,0x177,RENUMBERED
SCFactionDeclareHostileResultPacket,0x2b,0x1ce,RENUMBERED
SCFactionImmigrateInvitePacket,0x27,0x097,RENUMBERED
SCFactionImmigrateInviteResultPacket,0x28,0x1a8,RENUMBERED
SCFactionImmigrateToOriginResultPacket,0x29,0x0ce,RENUMBERED
SCFactionIndependencePacket,0x26,0x15f,RENUMBERED
SCFactionKickToOriginResultPacket,0x2a,0x239,RENUMBERED
SCFactionListPacket,0x08,0x127,RENUMBERED
SCFactionOwnerChangedPacket,0x18,0x202,RENUMBERED
SCFactionRelationExpiredPacket,0x2c,0x1b8,RENUMBERED
SCFactionRelationListPacket,0x09,0x1cf,RENUMBERED
SCFactionRenamedPacket,0x11,0x26d,RENUMBERED
SCFactionRetryRenamePacket,0x12,0x176,RENUMBERED
SCFactionSetRelationStatePacket,0x19,0x28f,RENUMBERED
SCFamilyCreatedPacket,0x2e,0x1f7,RENUMBERED
SCFamilyDescPacket,0x30,0x1ff,RENUMBERED
SCFamilyInvitationPacket,0x2d,0x1c2,RENUMBERED
SCFamilyMemberAddedPacket,0x31,0x175,RENUMBERED
SCFamilyMemberNameChangedPacket,0x35,0x1f3,RENUMBERED
SCFamilyMemberOnlinePacket,0x37,0x298,RENUMBERED
SCFamilyMemberRemovedPacket,0x32,0x0aa,RENUMBERED
SCFamilyOwnerChangedPacket,0x33,0x0ef,RENUMBERED
SCFamilyRemovedPacket,0x2f,0x0e2,RENUMBERED
SCFamilyTitleChangedPacket,0x34,0x1cd,RENUMBERED
SCFamilyTitlePacket,0x36,0x126,RENUMBERED
SCFestivalZoneStatePacket,,0x12e,NEW_IN_2_0
SCForceAttackSetPacket,0x43,0x096,RENUMBERED
SCFriendsPacket,0x4e,0x20a,RENUMBERED
SCFriendStatusChangedPacket,0x52,0x18e,RENUMBERED
SCFvFCombatRelationshiPacket,,0x28e,NEW_IN_2_0
SCFvFCombatRelationshipPacket,0x88,0xfff,RENUMBERED
SCGamePointChangedPacket,0x189,0xfff,RENUMBERED
SCGetSlotCountPacket,0x1e2,0x25a,RENUMBERED
SCGimmickGraspedPacket,0x141,0x0d6,RENUMBERED
SCGimmickJointsBrokenPacket,0x13f,0x0c2,RENUMBERED
SCGimmickMovementPacket,0x13e,0x179,RENUMBERED
